Time (s),Range (mm),Lumens (0dB)
0.76,46,0.58
1.02,45,0.58
1.23,46,0.51
2.2,48,0.51
2.36,47,0.58
2.52,44,0.51
2.68,47,0.51
2.85,46,0.51
3.01,45,0.51
3.16,48,0.51
3.32,46,0.51
3.48,47,0.51
3.65,45,0.51
3.81,45,0.51
3.97,46,0.51
4.13,45,0.51
4.29,46,0.51
4.45,46,0.51
4.62,47,0.51
4.78,47,0.51
4.96,47,0.51
5.15,46,0.51
5.34,47,0.51
5.52,44,0.51
5.7,46,0.51
5.86,45,0.51
6.01,47,0.51
6.17,47,0.51
6.34,46,0.51
6.51,44,0.51
6.67,47,0.51
6.83,46,0.51
7.11,45,0.51
7.33,47,0.51
7.55,46,0.51
7.78,46,0.51
7.95,45,0.58
8.14,47,0.58
8.33,47,0.58
8.51,46,0.58
8.68,47,0.58
8.88,47,0.58
10.01,44,0.58
10.19,46,0.58
10.36,44,0.58
10.53,46,0.58
10.71,42,0.58
10.88,43,0.58
11.06,45,0.58
11.24,46,0.58
11.42,45,0.58
11.61,44,0.58
11.79,43,0.58
11.96,43,0.58
12.14,41,0.58
12.32,40,0.58
12.49,44,0.58
12.66,43,0.58
12.84,42,0.58
13.01,43,0.58
13.18,44,0.58
13.36,42,0.58
13.53,46,0.58
13.71,43,0.58
13.88,43,0.58
14.06,43,0.58
14.24,43,0.58
14.42,42,0.58
14.59,41,0.58
14.76,43,0.58
14.94,41,0.58
15.13,42,0.58
15.3,42,0.58
15.49,42,0.58
15.67,41,0.58
15.85,43,0.58
16.04,42,0.58
16.22,42,0.58
16.4,39,0.58
16.58,40,0.58
16.75,41,0.58
16.93,39,0.58
17.11,38,0.58
17.28,38,0.58
17.46,38,0.58
17.66,36,0.58
17.83,37,0.58
18,35,0.58
18.18,37,0.58
18.38,38,0.58
18.55,37,0.58
18.73,35,0.58
18.91,36,0.58
19.08,33,0.58
19.27,36,0.58
19.45,35,0.58
19.63,35,0.58
19.8,35,0.58
19.98,35,0.58
20.16,35,0.58
20.35,35,0.51
20.53,34,0.58
20.71,33,0.58
20.89,36,0.51
21.07,36,0.58
21.24,34,0.58
21.42,35,0.58
21.61,34,0.58
21.78,35,0.58
21.96,34,0.58
22.13,35,0.58
22.32,36,0.58
22.5,34,0.58
22.68,36,0.58
22.85,33,0.58
23.03,34,0.58
23.22,33,0.58
23.39,34,0.58
23.56,34,0.58
23.75,33,0.58
23.93,34,0.58
24.11,34,0.58
24.28,36,0.58
24.46,34,0.58
24.64,36,0.58
24.83,36,0.58
25,33,0.58
25.17,34,0.58
25.36,34,0.58
25.53,35,0.58
25.71,35,0.58
25.88,34,0.58
26.07,34,0.58
26.24,35,0.58
26.42,35,0.58
26.6,36,0.58
26.78,33,0.58
26.95,34,0.58
27.12,37,0.58
27.3,36,0.58
27.47,35,0.58
27.65,37,0.58
27.82,36,0.58
28.01,38,0.58
28.18,37,0.58
28.36,36,0.58
28.53,41,0.58
28.7,38,0.58
28.87,38,0.58
29.05,39,0.58
29.23,40,0.58
29.41,41,0.58
29.59,40,0.58
29.77,40,0.58
29.94,40,0.58
30.12,39,0.58
30.29,38,0.58
30.46,40,0.58
30.65,38,0.58
30.82,39,0.58
31,40,0.58
31.17,40,0.58
31.34,40,0.58
31.52,40,0.58
31.7,39,0.58
31.87,41,0.58
32.05,40,0.58
32.23,40,0.58
32.4,41,0.58
32.59,40,0.58
32.76,41,0.58
32.94,40,0.58
33.12,41,0.58
33.29,40,0.58
33.47,41,0.58
33.64,41,0.58
33.82,40,0.58
33.99,41,0.58
34.18,40,0.58
34.36,42,0.58
34.54,39,0.58
34.72,41,0.58
34.89,39,0.58
35.07,41,0.58
35.25,43,0.58
35.42,42,0.58
35.59,43,0.58
35.77,41,0.58
35.94,46,0.58
36.11,46,0.58
36.29,42,0.58
36.48,45,0.64
36.66,44,0.58
36.83,45,0.58
37.01,47,0.58
37.19,45,0.58
37.37,46,0.58
37.56,49,0.58
37.76,45,0.58
37.93,47,0.58
38.11,46,0.58
38.28,46,0.58
38.46,46,0.58
38.63,47,0.58
38.83,46,0.58
39.01,44,0.58
39.19,48,0.58
39.37,48,0.58
39.55,46,0.58
39.72,44,0.58
39.89,46,0.58
40.07,46,0.58
40.25,44,0.58
40.42,46,0.58
40.6,45,0.58
40.78,45,0.58
40.96,45,0.58
41.14,43,0.58
41.32,45,0.58
41.5,46,0.58
41.68,46,0.58
41.87,45,0.58
42.05,45,0.58
42.23,45,0.58
42.41,45,0.58
42.61,47,0.58
42.82,46,0.58
43.06,47,0.58
43.29,46,0.58
43.48,45,0.58
43.69,46,0.58
43.86,45,0.58
44.04,46,0.58
